rank,bgg_url,game_id,min_players,max_players,avg_time,min_time,max_time,year,avg_rating,geek_rating,num_votes,image_url,age,mechanic,owned,category,weight
"		3776							",https://boardgamegeek.com/boardgame/840/corsairs,840,2,4,60,60,60,2000,6.08293,5.70058,498,//cf.geekdo-images.com/images/pic138661.jpg,10,Area Control / Area Influence* Dice Rolling* Hand Management* Modular Board,712,Card Game* Fighting* Nautical* Pirates,1.6977
"		3782							",https://boardgamegeek.com/boardgame/83197/yin-yang,83197,3,5,30,30,30,2010,6.29509,5.70058,289,//cf.geekdo-images.com/images/pic1088298.jpg,8,Hand Management* Set Collection* Trick-taking,466,Card Game,1.35
"		3777							",https://boardgamegeek.com/boardgame/3226/bowl-bound,3226,1,4,60,60,60,1973,6.90462,5.70057,173,//cf.geekdo-images.com/images/pic579215.jpg,12,Dice Rolling* Simulation,322,Dice* Sports,1.8929
"		3768							",https://boardgamegeek.com/boardgame/42448/we-didnt-playtest-either,42448,2,10,10,10,10,2009,6.05096,5.70056,587,//cf.geekdo-images.com/images/pic477193.jpg,12,Hand Management* Rock-Paper-Scissors* Voting,1592,Card Game* Humor,1.2308
"		3785							",https://boardgamegeek.com/boardgame/74102/der-pate,74102,2,4,60,60,60,2010,6.28253,5.70047,322,//cf.geekdo-images.com/images/pic1194408.png,12,Dice Rolling,442,Dice* Economic* Mafia,2.32
"		3784							",https://boardgamegeek.com/boardgame/15167/king-arthur-card-game,15167,2,5,30,30,30,2005,6.09642,5.70046,469,//cf.geekdo-images.com/images/pic1513991.jpg,8,Hand Management* Set Collection,690,Card Game* Fantasy,1.5256
"		3787							",https://boardgamegeek.com/boardgame/7719/arena-maximus,7719,2,5,60,60,60,2003,5.91473,5.70043,959,//cf.geekdo-images.com/images/pic149737.jpg,10,Hand Management,1542,Fantasy* Racing,1.8205
"		3779							",https://boardgamegeek.com/boardgame/137406/templar-secret-treasures,137406,2,5,60,60,60,2013,6.39011,5.70042,284,//cf.geekdo-images.com/images/pic1802207.jpg,8,Area Movement,665,Adventure* Exploration* Medieval,2.2381
"		3774							",https://boardgamegeek.com/boardgame/6642/western-front-tank-leader,6642,2,2,240,240,240,1987,6.7838,5.70037,179,//cf.geekdo-images.com/images/pic26376.jpg,12,Hex-and-Counter* Simulation,585,Wargame* World War II,3.1034
"		3780							",https://boardgamegeek.com/boardgame/148531/polterfass,148531,3,6,20,20,20,2013,6.3219,5.70033,306,//cf.geekdo-images.com/images/pic1789227.jpg,8,Betting/Wagering* Dice Rolling* Press Your Luck,364,Dice,1.6364
"		3796							",https://boardgamegeek.com/boardgame/182094/bang-duel,182094,2,2,30,30,30,2015,6.5769,5.70025,226,//cf.geekdo-images.com/images/pic3068558.png,8,Hand Management,639,American West* Card Game,1.8571
"		3786							",https://boardgamegeek.com/boardgame/99808/pizza-theory,99808,2,3,15,10,15,2012,6.19196,5.70016,397,//cf.geekdo-images.com/images/pic1135828.jpg,6,Area Control / Area Influence* Simultaneous Action Selection,532,Abstract Strategy,1.6
"		3804							",https://boardgamegeek.com/boardgame/12131/42,12131,4,4,30,30,30,1885,7.00181,5.69994,138,//cf.geekdo-images.com/images/pic1141924.jpg,10,Auction/Bidding* Partnerships* Trick-taking,102,Abstract Strategy* Card Game,2.1579
"		3789							",https://boardgamegeek.com/boardgame/131332/berserk-war-realms,131332,2,4,60,40,60,2013,6.5487,5.69993,247,//cf.geekdo-images.com/images/pic1442429.png,13,Area Movement* Dice Rolling* Hand Management* Variable Player Powers,784,Card Game* Fantasy* Fighting,2.75
"		3794							",https://boardgamegeek.com/boardgame/277/res-publica,277,3,5,60,30,60,1991,5.94612,5.69983,846,//cf.geekdo-images.com/images/pic1101876.jpg,10,Set Collection* Trading,1520,Card Game* Civilization,1.7037
"		3807							",https://boardgamegeek.com/boardgame/159209/bucket-king-3d,159209,2,6,20,20,20,2014,6.26483,5.69978,317,//cf.geekdo-images.com/images/pic2053333.jpg,8,Hand Management* Take That,358,Action / Dexterity* Animals* Card Game,1.2083
"		3822							",https://boardgamegeek.com/boardgame/147206/copper-country,147206,2,4,60,60,60,2015,6.93554,5.6997,166,//cf.geekdo-images.com/images/pic2007795.jpg,14,Action Point Allowance System* Area Control / Area Influence* Grid Movement* Hand Management* Press Your Luck* Set Collection* Variable Player Powers* Worker Placement,450,Economic* Industry / Manufacturing,2.7273
"		3792							",https://boardgamegeek.com/boardgame/26138/dungeon-twister-collectors-box,26138,2,2,45,45,45,2006,7.6913,5.69958,92,//cf.geekdo-images.com/images/pic155253.jpg,11,Action Point Allowance System* Hand Management* Modular Board* Secret Unit Deployment* Tile Placement* Variable Player Powers,196,Adventure* Exploration* Fantasy* Fighting* Maze* Miniatures,3
"		3793							",https://boardgamegeek.com/boardgame/5504/napoleons-battles,5504,2,10,360,360,360,1989,6.56844,5.69953,225,//cf.geekdo-images.com/images/pic243267.jpg,12,none,621,Miniatures* Napoleonic* Wargame,3.4
"		3795							",https://boardgamegeek.com/boardgame/36424/gulf-mobile-ohio,36424,3,5,60,60,60,2008,6.70262,5.69947,172,//cf.geekdo-images.com/images/pic333241.jpg,0,Auction/Bidding* Route/Network Building* Stock Holding,186,Economic* Trains* Transportation,2.9091
"		3809							",https://boardgamegeek.com/boardgame/507/cartel,507,2,4,90,90,90,1973,6.93382,5.69941,158,//cf.geekdo-images.com/images/pic424305.jpg,10,Auction/Bidding* Set Collection,241,Economic,2.2632
